,X,Y
0,2500.0,2500.0
1,422.62316822795987,2216.755119008132
2,3887.753302157332,1998.7200084150695
3,3470.258275345504,4576.427315784545
4,2499.858808021023,2284.811030217412
5,1108.6488296155842,4301.839372252187
6,2500.111146821491,522.1378311324193
7,3884.463722505789,2539.645305956096
8,2863.5924116860556,3879.12896950381
9,1339.5223607836933,404.2777963092308
10,3743.5654138027826,691.3111894351304
11,1166.6342355225338,3246.9147421092102
12,4453.659510649658,4530.883186683452
13,2299.643668265897,3334.0924589907263
14,1862.2109832778667,4668.287409682285
15,454.83721595045756,528.4137719876
16,3137.428438691288,1484.810088005366
17,4479.677996084267,866.9043380424657
18,1562.3138697597365,1596.7334017147714
19,4511.925445209431,2846.02929219938
20,4011.6565523151744,4066.7248140492875
21,3295.014576153387,2643.078002491211
22,476.6527918031005,3120.3802075705153
23,1956.0236199509675,2242.5106382907006
24,2500.2047690781146,2557.3172311150356
25,1285.0695123791445,2452.9096263771894
26,3783.9685456222883,1367.1584306135037
27,931.5709958273231,1858.8874748307537
28,522.0117585474752,3831.891505931606
29,2307.0910482696527,1584.8287007937995
30,4633.478539329887,1529.0307736161994
31,2012.3576046274572,734.4428649274947
32,2469.8999014866886,3942.610277818394
33,3217.1698250782038,2174.146054815137
34,557.8440147223988,2499.104832225625
35,4565.866879652516,3715.9821288921357
36,3121.8420808621727,372.3362161790336
37,3619.3415033387146,3427.073867473343
38,2725.374722825595,4555.672915512257
39,1144.2369736778408,1018.4788462932748
40,2826.370705547306,3143.9658671830557
41,1575.4482651329117,2836.0565332261826
42,375.1621409015176,1356.536344439631
43,1718.520549446244,3772.6912064111343
44,4527.041020202953,2224.075810938552
45,4406.041601195092,306.58728606452166
46,3340.9479630390724,4058.2827313400358
47,538.9161888351908,4529.690069214003
48,2517.816085153814,1226.8301462699428
